,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
15454,4720160420,47,20160420,13.257142857142856,5.571428571428571,20.1,1.8714285714285717,229.28571428571428,1004.8142857142856,0.0038075,0.4935,0.041129717,0.0175295,39.51415094,19.52777778
15455,4720160421,47,20160421,13.035714285714288,9.885714285714286,16.435714285714287,1.5142857142857142,166.42857142857142,991.9285714285717,0.0034257429999999998,0.499257426,0.034268868,0.015561881000000001,20.12826603,16.35135135
15456,4720160422,47,20160422,18.335714285714285,10.564285714285717,26.335714285714282,2.5357142857142856,242.14285714285717,993.5357142857144,0.0033130000000000004,0.483333333,0.043685315,0.013199753,38.54439252,22.57142857
15457,4720160423,47,20160423,15.842857142857142,11.12857142857143,20.95,2.0,253.57142857142856,997.6857142857144,0.00376299,0.512009804,0.046168981,0.013731127,189.8981481,41.15217391
15458,4720160424,47,20160424,13.364285714285714,6.2785714285714285,21.25,1.9357142857142855,158.57142857142858,1001.0071428571428,0.003741667,0.44158415799999995,0.043722222000000005,0.010218873,121.81944440000001,31.625
15459,4720160425,47,20160425,14.935714285714285,5.128571428571429,24.75,1.7357142857142858,181.42857142857144,1002.8642857142858,0.00399005,0.507848101,0.038301176,0.016613682,74.77358491,23.82222222
15460,4720160426,47,20160426,15.721428571428573,7.914285714285714,24.228571428571428,2.6785714285714284,122.14285714285714,1001.8,0.00510975,0.54725,0.040896226,0.016329,71.36556604,29.70833333
15461,4720160427,47,20160427,10.428571428571429,8.857142857142858,13.471428571428573,3.2357142857142853,115.0,996.5214285714284,0.0032242509999999996,0.568367347,0.040896635,0.010698468999999999,32.3995098,18.1875
15462,4720160428,47,20160428,12.328571428571427,8.407142857142857,17.871428571428574,2.8642857142857143,154.28571428571428,993.5214285714287,0.003970685,0.502564103,0.039014354,0.012369036000000002,32.54679803,12.27659574
15463,4720160429,47,20160429,13.87142857142857,6.971428571428571,20.86428571428571,1.9214285714285717,230.7142857142857,997.5714285714287,0.00356056,0.437990196,0.039136574,0.014636275,40.93208431,21.91666667
15464,4720160430,47,20160430,17.20714285714286,8.128571428571428,25.250000000000004,2.6214285714285714,270.0,996.9357142857144,0.004352696,0.511519608,0.054944444,0.013181126999999999,59.27546296,33.46808511
15465,4720160501,47,20160501,19.192857142857143,10.921428571428573,27.714285714285715,2.2071428571428577,234.28571428571428,999.0428571428572,0.0045405409999999995,0.518382353,0.059701389,0.01068701,50.43518519,28.79661017
